METHOD	ROUTE	FILE:LINE	HANDLER	PERMISSIONS	GUARDS	PUBLIC
PATCH	/api/v1/iot-devices/:id/rtsp-config	src/modules/iot/controllers/iot-devices.controller.ts:182	configureRtsp	iot_devices:configure_rtsp	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/iot-devices/probe-status	src/modules/iot/controllers/iot-devices.controller.ts:109	probeStatus	iot.device.probe	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/iot-devices/status-summary	src/modules/iot/controllers/iot-devices.controller.ts:54	statusSummary	iot.device.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/ivss/health	src/modules/ivss/controllers/ivss-health.controller.ts:19	health	ivss.health.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/ivss/meetings/:meetingId/presence	src/modules/ivss/controllers/ivss-presence.controller.ts:50	meetingPresence	ivss.presence.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/ivss/meetings/:meetingId/presence/:userId	src/modules/ivss/controllers/ivss-presence.controller.ts:29	userPresence	ivss.presence.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/ivss/meetings/:meetingId/presence/report	src/modules/ivss/controllers/ivss-presence.controller.ts:65	report	ivss.presence.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/ivss/rooms/:roomId/access-log	src/modules/ivss/controllers/ivss-room-access.controller.ts:30	accessLog	ivss.presence.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/live-meetings/:meetingId/attendance	src/modules/live-meeting/controllers/live-meeting.controller.ts:471	getAttendance	attendance.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/live-meetings/:meetingId/end	src/modules/live-meeting/controllers/live-meeting.controller.ts:252	endMeeting	meeting.session.end	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/live-meetings/:meetingId/extension-requests/:requestId/decide	src/modules/live-meeting/controllers/live-meeting.controller.ts:180	decideExtension		JwtAuthGuard,PermissionsGuard	
GET	/api/v1/live-meetings/:meetingId/present-attendees	src/modules/live-meeting/controllers/live-meeting.controller.ts:305	getPresentAttendees	meeting.presence.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/live-meetings/:meetingId/recording/:sessionId/pause-video	src/modules/recording/controllers/recording-session.controller.ts:83	pauseVideo	recording.video.stop	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/live-meetings/:meetingId/recording/:sessionId/resume-video	src/modules/recording/controllers/recording-session.controller.ts:103	resumeVideo	recording.video.stop	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/live-meetings/:meetingId/recording/:sessionId/status	src/modules/recording/controllers/recording-session.controller.ts:239	getStatus	recording.video.status	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/live-meetings/:meetingId/recording/:sessionId/stop-video	src/modules/recording/controllers/recording-session.controller.ts:58	stopVideo	recording.video.stop	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/live-meetings/:meetingId/recording/start-video	src/modules/recording/controllers/recording-session.controller.ts:34	startVideo	recording.video.start	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/live-meetings/:meetingId/start	src/modules/live-meeting/controllers/live-meeting.controller.ts:64	startMeeting	meeting.session.start	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/me/avatar	src/modules/accounts/controllers/avatar-photo.controller.ts:44	updateAvatar	profile.avatar.update	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/me/biometric-status	src/modules/accounts/controllers/biometric-submission.controller.ts:59	getBiometricStatus	profile.biometric.read_status	JwtAuthGuard,PermissionsGuard	
