METHOD	PATH	FILE:LINE	FUNC	QS
POST	/meeting-requests/:param/reject	src/service/managerServices.js:116	rejectMeetingRequest	
GET	/meetings	src/service/businessAdminServices.js:233	query	QS
POST	/meetings	src/service/businessAdminServices.js:237	createMeeting	
POST	/meetings	src/service/employeeServices.js:40	createMeeting	
GET	/meetings/:param	src/service/employeeServices.js:122	getMeetingById	
GET	/meetings/:param	src/service/managerServices.js:176	getMeetingById	
PATCH	/meetings/:param	src/service/businessAdminServices.js:241	updateMeeting	
PATCH	/meetings/:param	src/service/employeeServices.js:133	updateMeeting	
PATCH	/meetings/:param	src/service/managerServices.js:197	updateMeeting	
PUT	/meetings/:param/agendas	src/service/employeeServices.js:58	replaceAgendas	
GET	/meetings/:param/attendance	src/service/employeeServices.js:195	query	QS
GET	/meetings/:param/attendance	src/service/managerServices.js:291	query	QS
POST	/meetings/:param/attendance	src/service/managerServices.js:295	manualAttendanceCheckIn	
PATCH	/meetings/:param/attendance/:param	src/service/managerServices.js:303	updateAttendanceRecord	
POST	/meetings/:param/attendance/:param/invalidate	src/service/managerServices.js:307	invalidateAttendanceRecord	
PATCH	/meetings/:param/attendance/:param/status	src/service/employeeServices.js:206	updateAttendanceStatus	
PATCH	/meetings/:param/attendance/:param/status	src/service/managerServices.js:299	updateAttendanceStatus	
GET	/meetings/:param/available-rooms	src/service/businessAdminServices.js:367	query	QS
POST	/meetings/:param/cancel	src/service/businessAdminServices.js:257	cancelMeeting	
POST	/meetings/:param/cancel	src/service/employeeServices.js:152	cancelMeeting	
POST	/meetings/:param/cancel	src/service/managerServices.js:216	cancelMeeting	
POST	/meetings/:param/cancellation-notifications	src/service/businessAdminServices.js:347	sendCancellationNotification	
POST	/meetings/:param/check-in	src/service/employeeServices.js:160	checkInMeeting	
POST	/meetings/:param/check-in	src/service/managerServices.js:224	checkInMeeting	
POST	/meetings/:param/extension-requests	src/service/employeeServices.js:240	requestExtension	
POST	/meetings/:param/extension-requests	src/service/managerServices.js:324	requestExtension	
POST	/meetings/:param/invitations	src/service/businessAdminServices.js:337	sendMeetingInvitations	
GET	/meetings/:param/media-files	src/service/businessAdminServices.js:272	query	QS
GET	/meetings/:param/media-files	src/service/employeeServices.js:126	getMeetingMediaFiles	
GET	/meetings/:param/media-files	src/service/managerServices.js:257	query	QS
POST	/meetings/:param/minutes	src/service/minutesServices.js:34	createManualMinutes	
GET	/meetings/:param/minutes/ai-draft-config	src/service/minutesServices.js:8	getAiDraftConfig	
GET	/meetings/:param/minutes/ai-draft-jobs	src/service/minutesServices.js:25	getAiDraftJobs	
POST	/meetings/:param/minutes/ai-draft-jobs	src/service/minutesServices.js:17	createAiDraftJob	
POST	/meetings/:param/minutes/distributions	src/service/businessAdminServices.js:352	sendMinutesDistribution	
GET	/meetings/:param/notes	src/service/employeeServices.js:211	query	QS
GET	/meetings/:param/notes	src/service/managerServices.js:270	query	QS
POST	/meetings/:param/notes	src/service/employeeServices.js:215	createMeetingNote	
POST	/meetings/:param/notes	src/service/managerServices.js:274	createMeetingNote	
DELETE	/meetings/:param/participants/:param	src/service/businessAdminServices.js:392	removeInternalParticipant	
POST	/meetings/:param/participants/external	src/service/businessAdminServices.js:382	addExternalParticipant	
DELETE	/meetings/:param/participants/external/:param	src/service/businessAdminServices.js:387	removeExternalParticipant	
POST	/meetings/:param/participants/import	src/service/businessAdminServices.js:377	importMeetingParticipants	
GET	/meetings/:param/participants/import/template	src/service/businessAdminServices.js:372	downloadParticipantImportTemplate	
POST	/meetings/:param/participants/internal	src/service/employeeServices.js:67	addInternalParticipant	
GET	/meetings/:param/recording-config	src/service/employeeServices.js:284	getRecordingConfig	
GET	/meetings/:param/recording-config	src/service/managerServices.js:373	getRecordingConfig	
PATCH	/meetings/:param/recording-config	src/service/businessAdminServices.js:253	updateMeetingRecordingConfig	
PATCH	/meetings/:param/recording-config	src/service/employeeServices.js:145	updateMeetingRecordingConfig	
PATCH	/meetings/:param/recording-config	src/service/employeeServices.js:288	updateRecordingConfig	
PATCH	/meetings/:param/recording-config	src/service/managerServices.js:209	updateMeetingRecordingConfig	
PATCH	/meetings/:param/recording-config	src/service/managerServices.js:377	updateRecordingConfig	
POST	/meetings/:param/recording-config	src/service/employeeServices.js:49	addRecordingConfig	
GET	/meetings/:param/recording-sessions	src/service/employeeServices.js:280	getRecordingSessions	
GET	/meetings/:param/recording-sessions	src/service/managerServices.js:369	getRecordingSessions	
POST	/meetings/:param/recording-sessions/audio-upload	src/service/transcriptionServices.js:11	formData	
POST	/meetings/:param/reminders	src/service/businessAdminServices.js:342	sendMeetingReminder	
PATCH	/meetings/:param/room	src/service/businessAdminServices.js:249	updateMeetingRoom	
PATCH	/meetings/:param/room	src/service/employeeServices.js:141	updateMeetingRoom	
PATCH	/meetings/:param/room	src/service/managerServices.js:205	updateMeetingRoom	
PATCH	/meetings/:param/time	src/service/businessAdminServices.js:245	updateMeetingTime	
PATCH	/meetings/:param/time	src/service/employeeServices.js:137	updateMeetingTime	
PATCH	/meetings/:param/time	src/service/managerServices.js:201	updateMeetingTime	
GET	/meetings/:param/transcript	src/components/minutes/MinutesTabContent.jsx:104	tRes	
GET	/meetings/:param/transcript	src/service/transcriptionServices.js:38	query	QS
GET	/meetings/:param/transcription-jobs	src/service/transcriptionServices.js:28	getTranscriptionJobs	
POST	/meetings/:param/transcription-jobs	src/service/transcriptionServices.js:20	createTranscriptionJob	
GET	/no-show-cases	src/service/businessAdminServices.js:185	getNoShowByRoom	QS
GET	/no-show-cases	src/service/businessAdminServices.js:198	query	QS
GET	/no-show-cases	src/service/managerServices.js:361	query	QS
PATCH	/no-show-cases/:param	src/service/businessAdminServices.js:189	handleNoShowCase	
POST	/no-show-cases/:param/release	src/service/businessAdminServices.js:193	releaseNoShowRoom	
GET	/no-show-config	src/service/sysAdminServices.js:550	getNoShowConfig	
REQ	/no-show-config	src/service/sysAdminServices.js:555	updateNoShowConfig	
GET	/notifications	src/service/businessAdminServices.js:309	query	QS
GET	/notifications	src/service/sysAdminServices.js:357	query	QS
GET	/notifications/:param	src/service/businessAdminServices.js:357	getNotificationDetail	
